solution,query_no,duration[s],include_io
polars,q1,0.37207802300326875,True
polars,q2,0.03960806499890168,True
polars,q3,0.2506673200005025,True
polars,q4,0.1861000429998967,True
polars,q5,0.19632735300183413,True
polars,q6,0.1610285009992367,True
polars,q7,0.37478123999972013,True
pandas,q1,4.641617120996671,True
pandas,q2,0.6120650020020548,True
pandas,q3,4.692469558001903,True
pandas,q4,4.793159166998521,True
pandas,q5,4.761237438000535,True
pandas,q6,3.690347538999049,True
pandas,q7,5.636817422000604,True
dask,q1,9.543021902001783,True
dask,q2,0.7667955789984262,True
dask,q3,10.577729204000207,True
dask,q4,7.744609138000669,True
dask,q5,8.350564364001912,True
dask,q6,11.052969594999013,True
dask,q7,12.537831635996554,True
